"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 26 18:24:01 GMT 2022","Mon Dec 26 18:24:32 GMT 2022","30704","Regression test suite","Thread2","tests.CheckoutTest","tests.CheckoutTest","inputInvalidDataIntoCheckoutForm","Negative tests for Checkout page",""
"broken","Mon Dec 26 18:25:34 GMT 2022","Mon Dec 26 18:26:05 GMT 2022","30625","Regression test suite","Thread2","tests.CheckoutTest","tests.CheckoutTest","inputInvalidDataIntoCheckoutForm","Negative tests for Checkout page",""
"passed","Mon Dec 26 18:22:58 GMT 2022","Mon Dec 26 18:22:59 GMT 2022","739","Regression test suite","Thread2","tests.CheckoutTest","tests.CheckoutTest","buttonCancelShouldGoToProductsPage","Button Cancel should go to Products page",""
"passed","Mon Dec 26 18:27:38 GMT 2022","Mon Dec 26 18:27:39 GMT 2022","925","Regression test suite","Thread2","tests.CheckoutTest","tests.CheckoutTest","inputValidDataIntoCheckoutForm","Positive test for Checkout form",""
"passed","Mon Dec 26 18:22:54 GMT 2022","Mon Dec 26 18:22:57 GMT 2022","2300","Regression test suite","Thread2","tests.BurgerMenuTest","tests.BurgerMenuTest","buttonLogoutShouldGoToLoginPage","Logout should go to Login page",""
"broken","Mon Dec 26 18:27:07 GMT 2022","Mon Dec 26 18:27:38 GMT 2022","30606","Regression test suite","Thread2","tests.CheckoutTest","tests.CheckoutTest","inputInvalidDataIntoCheckoutForm","Negative tests for Checkout page",""
"passed","Mon Dec 26 18:22:57 GMT 2022","Mon Dec 26 18:22:58 GMT 2022","595","Regression test suite","Thread2","tests.BurgerMenuTest","tests.BurgerMenuTest","linkAboutShouldBeCorrect","SauceLabs link should be correct",""
