"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 11 13:41:20 GMT 2023","Wed Jan 11 13:41:50 GMT 2023","30592","Regression test suite","Thread2","tests.CheckoutTest","tests.CheckoutTest","inputInvalidDataIntoCheckoutForm","Negative tests for Checkout page",""
"broken","Wed Jan 11 13:44:26 GMT 2023","Wed Jan 11 13:44:56 GMT 2023","30576","Regression test suite","Thread2","tests.CheckoutTest","tests.CheckoutTest","inputInvalidDataIntoCheckoutForm","Negative tests for Checkout page",""
"passed","Wed Jan 11 13:40:17 GMT 2023","Wed Jan 11 13:40:17 GMT 2023","722","Regression test suite","Thread2","tests.CheckoutTest","tests.CheckoutTest","buttonCancelShouldGoToProductsPage","Button Cancel should go to Products page",""
"passed","Wed Jan 11 13:40:14 GMT 2023","Wed Jan 11 13:40:15 GMT 2023","1672","Regression test suite","Thread2","tests.BurgerMenuTest","tests.BurgerMenuTest","buttonLogoutShouldGoToLoginPage","Logout should go to Login page",""
"passed","Wed Jan 11 13:40:16 GMT 2023","Wed Jan 11 13:40:16 GMT 2023","581","Regression test suite","Thread2","tests.BurgerMenuTest","tests.BurgerMenuTest","linkAboutShouldBeCorrect","SauceLabs link should be correct",""
"broken","Wed Jan 11 13:42:52 GMT 2023","Wed Jan 11 13:43:23 GMT 2023","30925","Regression test suite","Thread2","tests.CheckoutTest","tests.CheckoutTest","inputInvalidDataIntoCheckoutForm","Negative tests for Checkout page",""
"passed","Wed Jan 11 13:44:57 GMT 2023","Wed Jan 11 13:44:58 GMT 2023","881","Regression test suite","Thread2","tests.CheckoutTest","tests.CheckoutTest","inputValidDataIntoCheckoutForm","Positive test for Checkout form",""
